id,title,artist
144663,밤편지,아이유
116573,안아줘,정준일
357367,비,폴킴
366786,가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학
654757,눈의 꽃,박효신
133143,"그대와 나, 설레임 (Feat. 소울맨)",어쿠스틱 콜라보
349492,어떤이별,임승부
675115,야생화,박효신
463173,비가 내렸어 (Vocal by 스티브언니),업라이트
42155,벙어리,홍아
610933,널 생각해,원 모어 찬스
396828,쉬운사랑,중신
461341,어떻게 지내,Crush
174749,비도 오고 그래서 (Feat. 신용재),헤이즈
520093,고마운 사람 (Vocal by 이소진),업라이트
701557,우연히 봄,로꼬
549178,금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유
485155,선물,민우
650494,봄 사랑 벚꽃 말고,HIGH4
523521,사랑을 놓치고,박은옥
13281,넌 이별 난 아직 (With 한소현 Of 3rd Coast),스탠딩 에그
648628,분홍빛 가득한 날에 (Vocal by 호수),아재
449244,스토커,10CM
680366,끝내지 못한 이야기 (Feat. 호수),어쿠스틱 멜로디
169984,같은 시간 속의 너,나얼
422915,연인,중신
11657,Lost Stars,Adam Levine
418935,"수고했어, 오늘도",옥상달빛
187047,착각,박은옥
547967,불안해,혜지
422077,너로 가득해,혜지
350309,Sad Movie (Vocal by Levi),업라이트
627363,널 사랑하지 않아,어반자카파
625875,I`m Not The Only One,Sam Smith
300087,Madeleine Love,CHEEZE
132994,벚꽃 엔딩,버스커 버스커
215411,지금보다 조금 (Feat. 이원),어쿠스틱 멜로디
427724,지워줄게 (Vocal by 스티브언니),아재
442014,내 곁에 있어줘,중신
668128,사랑이 그리워,태인
582252,준비된 이별 (With 박은옥),아재
663256,Call You Mine (Feat. Geologic Of The Blue Scholars),Jeff Bernat
253755,바람이 분다,이소라
643628,광화문에서 (At Gwanghwamun),규현
448116,MOM (겨울나무),홍아
339802,홀로 (Feat. 김나영),정키
581799,Closer (Feat. Halsey),The Chainsmokers
348200,썸 (Feat. 릴보이 Of 긱스),소유
26083,한여름밤의 꿀,San E
37748,너였다면,정승환
341513,너가 떠나던날 (With. 박은옥),아재
505036,D (half moon) (Feat. 개코),DEAN
199262,후회 (Feat. 박은옥),아재
407828,너의 의미 (Feat. 김창완),아이유
105140,함께 걷던 길 (With 선진),아재
68348,손편지 (Vocal 태인),아재
140867,Someone Like You,Adele
235773,이 노래를 듣게 된다면 (Feat. 이소진),어쿠스틱 멜로디
209993,미련이 남아서,민우
209135,소란했던 시절에,빌리어코스티
339124,그냥 (Just),Zion.T
487911,Midnight (Feat. 민우),아재
493762,Shape of You,Ed Sheeran
672550,꺼내 먹어요,Zion.T
509998,이별의 이유 (Feat. 박은옥),아재
531820,한숨,이하이
27469,Bye bye my blue,백예린
157055,ALONE (Vocal 김제훈),아재
519391,Love Again,김제훈
473514,양화대교,Zion.T
232874,Rain Drop,아이유
75842,잊혀지다 (Feat. 양다일),정키
117595,거리에서,성시경
446812,우주를 건너,백예린
295250,너의 모든 순간,성시경
152422,너무 보고싶어,어쿠스틱 콜라보
224921,첫눈처럼 너에게 가겠다,에일리
678762,꽃잎이 떨어지면 (Feat. 뜨때로),어쿠스틱 멜로디
351342,끝,권진아
15318,With Winter,민은서밴드
377243,돌아오지마 (Feat. 용준형 Of 비스트),헤이즈
146989,YOUTH,Troye Sivan
246531,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
205179,꿀맛,정미애
645489,만약에,태연
108004,언능언능,홍아
464051,Thinking Out Loud,Ed Sheeran
13198,기억을 걷는 시간,넬
302646,바람기억,나얼
152475,걱정말아요 그대,이적
343974,마음,아이유
236393,Sugar,Maroon 5
95323,내일 할 일,윤종신
640657,내가 말하고 싶은건,김제훈
459256,Uptown Funk (Feat. Bruno Mars),Mark Ronson
88503,응급실,Izi
362966,봄날,방탄소년단
674160,늦은 밤 너의 집 앞 골목길에서,노을
424813,이별택시,김연우
154858,안녕,폴킴
497066,기다리다,윤하
590012,너 사용법,에디킴
553171,Rain,태연
333595,Love Yourself,Justin Bieber
6546,"묘해, 너와",어쿠스틱 콜라보
521739,코끝에 겨울,어반자카파
628232,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽
193232,장마,정인
543820,이 소설의 끝을 다시 써보려 해,한동근
443914,오늘부터 우리는 (Me Gustas Tu),여자친구
518420,CHEER UP,TWICE
173943,...사랑했잖아...,린
210647,나만 몰랐던 이야기,아이유
601037,여기까지,권진아
663905,끝사랑,김범수
440160,비가 오는 날엔,비스트
38261,한번쯤 (With 박은옥),아재
173798,사랑은 은하수 다방에서,10CM
15124,Something Just Like This,The Chainsmokers
478754,선물,멜로망스
32385,오늘,오왠
95485,Little Star,스탠딩 에그
690604,축가 (Marry Me),도태우
246984,All For You,서인국
237407,감아 (Feat. Crush),로꼬
367963,좋니,윤종신
629738,벌써일년,브라운 아이즈
586653,이럴거면 그러지말지 (Feat. Young K),백아연
250,Love Blossom (러브블러썸),케이윌
245317,첫 이별 그날 밤,아이유
64052,우주를 줄게,볼빨간사춘기
281838,Beautiful,Crush
358241,사랑이란 멜로는 없어,전상근
704707,빨간 맛 (Red Flavor),Red Velvet
626369,미워요,정인
191915,The Ocean (Feat. Shy Martin) (Radio Edit.),Mike Perry
118827,저녁 하늘,에일리
580074,여전히 아름다운지,김연우
455986,내가 할 수 없는 말 (Feat. 나비),정키
67655,술 한잔 해요,지아
413422,"All I Wanna Do (K) (Feat. Hoody, Loco)",박재범
624738,잊어버리지마 (Feat. 태연),Crush
195174,Stay,Zedd
166841,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU
76888,Happy (Gru`s Theme From Despicable Me 2),Pharrell Williams
140833,소녀,오혁
668042,위잉위잉,혁오
376435,One Call Away,Charlie Puth
267701,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
477905,그날에 우리,어반자카파
177460,Slow Motion (Album Version),Karina
1236,체념,빅마마
13142,거짓말 거짓말 거짓말,이적
516653,노력,박원
90557,하고 싶은 말 (Feat. 한올),어쿠루브
610179,좋다고 말해,볼빨간사춘기
153271,추억은 사랑을 닮아,박효신
613722,Rain,Lim Kim
651499,친구라도 될 걸 그랬어,거미
199390,Oasis (Feat. ZICO),Crush
326204,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유
232606,내게 다시오면,김제훈
368069,언젠가 설명이 필요한 밤,안녕하신가영
213435,See You Again (폴 워커 추모 엔딩곡),Charlie Puth
75971,여름밤에 우린,스탠딩 에그
588471,Loving U (러빙유),씨스타
19533,all of my life,박원
33829,목소리 (Feat. 정기고),스웨덴세탁소
689661,지금껏 그랬듯 앞으로도 계속,구름
298103,언제쯤이면 (Duet.아이유),윤현상
243850,봄을 그리다,어반자카파
28832,Sunday Morning,Maroon 5
482903,들리나요...,태연
457124,봄인가 봐 (Spring Love),에릭남
207558,Falling Slowly,Glen Hansard & Marketa Irglova
22845,두사람,성시경
554751,Treasure,Bruno Mars
528278,듣고 있어?,스윙스
455668,좋은 날,아이유
194117,듣는편지,40
600802,비가 온다,정승환
41912,사계 (Four Seasons),태연
698536,너만 생각하면,김제훈
98472,우산 (Feat. 윤하),에픽하이
549392,내가 니편이 되어줄게 (Feat. 하은),커피소년
24087,This Is What You Came For (Feat. Rihanna),Calvin Harris
298962,1월부터 6월까지,윤종신
664036,그녀를 사랑해줘요,하동균
646941,SHAKE IT,씨스타
362903,가을밤 떠난 너,케이시
141248,SOFA,Crush
322491,너를 만나,폴킴
460823,Paris In The Rain,Lauv
407082,정말 사랑했을까,브라운 아이드 소울
133484,Oh Beautiful,김제훈
59003,고백,정준일
130199,Touch My Body,씨스타
317362,여수 밤바다,버스커 버스커
322721,시든 꽃에 물을 주듯,HYNN
555338,답답한 새벽,스웨덴세탁소
508608,못해 (Feat. 미),포맨
579592,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",리쌍
65622,포장마차,황인욱
207232,Dream (Prod. by 박근태),수지
543371,퇴근버스,이준호
109574,오늘 헤어졌어요,윤하
454218,죽일 놈 (Guilty),다이나믹 듀오
118049,지친 하루,윤종신
616038,"그때의 나, 그때의 우리",어반자카파
686809,Groovin`,Jeff Bernat
77951,나의 옛날이야기,아이유
51612,오늘은 가지마,임세준
440848,전부 너였다,노을
339118,숨,박효신
389920,꿈속에 너 (Feat. 전상근),에이치코드
19811,새 사랑,송하예
532114,요즘 너 말야,제이레빗
573179,200%,AKMU
374617,자니 (Feat. Dynamic Duo),프라이머리
699874,PARTY,소녀시대
318871,좋아 (JOAH),박재범
705098,Faded,Alan Walker
118788,이 바보야,정승환
222305,"I`m The One (Feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne)",DJ Khaled
695032,크리스마스니까,성시경
559607,How To Love (Feat. Sofia Reyes),Cash Cash
703096,사랑에 연습이 있었다면 (Prod. 2soo),임재현
132247,고백,델리스파이스
696494,Blue Sea,Bird
170317,그 남자 그 여자 (Feat. 장혜진),바이브
183949,나였으면,나윤권
216696,나만 안되는 연애,볼빨간사춘기
170279,오늘 취하면 (Feat. 창모) (Prod. SUGA),SURAN
331055,Fix You,Coldplay
260220,너에게,성시경
486705,겨울을 걷는다,윤딴딴
459165,그리워하다,비투비
456740,미안해,양다일
334539,별 보러 가자,적재
274504,We Don`t Talk Anymore (Feat. Selena Gomez),Charlie Puth
581789,봄이 좋냐??,10CM
454528,부디,심규선
200098,기억해줘요 내 모든 날과 그때를,거미
498752,봄바람 (Vocal 박은옥),아재
594592,비와 당신,럼블피쉬
486938,내게 오는 길,성시경
318762,Havana (Feat. Young Thug),Camila Cabello
231659,사랑한다는 흔한 말,김연우
8719,무릎,아이유
351888,니가 보고싶은 밤,윤딴딴
453055,고백,뜨거운 감자
279532,귀로,나얼
612516,가을 안부,먼데이 키즈
589983,잠 못드는 밤 (Feat. 펀치 (Punch)),Crush
635537,보고 싶다,김범수
669557,첫 겨울이니까,성시경
542441,나는 그 사람이 아프다 (Feat. 타루),에피톤 프로젝트
413837,만약에 말야 (전우성 Solo),노을
169945,사랑한다는 말로도 위로가 되지 않는,브로콜리너마저
174225,오르막길,정인
557120,가끔 내가,김나영
585216,꽃피는 봄이오면,BMK
41328,When I Was Your Man,Bruno Mars
173686,사랑합니다...,팀
705515,Don`t Know Why,Norah Jones
238794,그리워 그리워,노을
387859,All I Want For Christmas Is You,Mariah Carey
140920,팔레트 (Feat. G-DRAGON),아이유
7070,남이 될 수 있을까,볼빨간사춘기
275414,Officially Missing You,긱스
529965,벌써 일년,브라운 아이즈
695494,니가 모르게 (You Don`t Know),로꼬
113958,가시,버즈
119974,HandClap,Fitz & The Tantrums
698250,어디에도,엠씨더맥스
381874,2002,Anne-Marie
81213,그립고 그립고 그립다,케이윌
564336,또 다시 사랑,임창정
32120,Counting Stars,OneRepublic
144632,Mr. Chu (On Stage),Apink
567650,그게 뭐라고,어쿠루브
293236,봄봄봄,로이킴
188349,사진을 보다가,바이브
122363,하루 끝,아이유
107220,술이야,바이브
576186,좋아해 (bye),CHEEZE
